ID,segment,magnitude,engine_cost,sum,marking_equipment,image_path
1,1,1,"27039,67","38712,27",Электродвигатель трехфазный АИР 100L4 380В 4кВт 1500об/мин 1081,1_1.jpg
2,1,2,"53160,83","66663,57",Электродвигатель трехфазный АИР 132M4 380В 11кВт 1500об/мин 1081,1_1.jpg
3,1,3,"68123,45","90269,33",Электродвигатель трехфазный АИР 160M4 380В 18.5кВт 1500 об/мин 2081,1_1.jpg
4,1,1,"68123,45","36295,67",Электродвигатель трехфазный АИР 100L4 380В 4кВт 1500об/мин 1081,1_1.jpg
5,1,2,"53160,83","66272,83",Электродвигатель трехфазный АИР 132M4 380В 11кВт 1500об/мин 1081,1_1.jpg
6,1,3,"68123,45",83615,Электродвигатель трехфазный АИР 160M4 380В 18.5кВт 1500 об/мин 2081,1_1.jpg
7,1,1,"27039,67","39543,67",Электродвигатель трехфазный АИР 100L4 380В 4кВт 1500об/мин 1081,1_1.jpg
8,1,2,"53160,83","69953,83",Электродвигатель трехфазный АИР 132M4 380В 11кВт 1500об/мин 1081,1_1.jpg
9,1,3,"68123,45","92518,45",Электродвигатель трехфазный АИР 160M4 380В 18.5кВт 1500 об/мин 2081 ,1_1.jpg
10,2,1,"29366,08","41463,94",Электродвигатель 5АИ 112 МВ6 4/1000 IM 1081 380В 4кВт 1000об/мин,2_2.jpg
11,2,2,"48321,02","114035,64",Электродвигатель 5АИ 132 М4 11/1500 IM 3081 380В 4кВт 1500об/мин,2_2.jpg
12,2,3,"70166,64","180775,55",Электродвигатель 5АИ 160 М4 18.5/1500 IM 1001 380В 18.5кВт 1500об/мин,2_2.jpg
13,2,1,"29366,08","39543,67",Электродвигатель 5АИ 112 МВ6 4/1000 IM 1081 380В 4кВт 1000об/мин,2_2.jpg
14,2,2,"48321,02","69953,83",Электродвигатель 5АИ 132 М4 11/1500 IM 3081 380В 11кВт 1500об/мин,2_2.jpg
15,2,3,"70166,64","92518,45",Электродвигатель 5АИ 160 М4 18.5/1500 IM 1001 380В 18.5кВт 1500об/мин,2_2.jpg
16,2,1,"29366,08","56610,68",Электродвигатель 5АИ 112 МВ6 4/1000 IM 1081 380В 4кВт 1000об/мин,2_2.jpg
17,2,2,"48321,02","84483,58",Электродвигатель 5АИ 132 М4 11/1500 IM 3081 380В 11кВт 1500об/мин,2_2.jpg
18,2,3,"70166,64","124256,84",Электродвигатель 5АИ 160 М4 18.5/1500 IM 1001 380В 18.5кВт 1500об/мин,2_2.jpg
19,3,1,"41486,59","122446,2",1LE1002-1BB23-4FA4 380В 4кВт 1500об/мин,3_2.jpg
20,3,2,99022,"210201,43",1LE1002-1DA23- 400В 11кВт 3000об/мин,3_2.jpg
21,3,3,148232,"304374,43",1LE1502-2BA23- 400В 45кВт 3000об/мин,3_2.jpg
22,3,1,106400,"151358,1","ABB Асинхронный двигатель M2AA112 MB IE2, 380В 4кВт, 1500об/мин, IMB5",3_2.jpg
23,3,2,"125020,85","180663,85","ABB  Двиг.ас.M2BAX(IE2)11кВт,1500о/м,B5 380В 11кВт 1500об/мин",3_2.jpg
24,3,3,"152891,56","220248,56",Электродвигатель Siemens 1LE1502-2BA23-4AB4-Z 400В 45кВт 3000об/мин,3_2.jpg
